Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2024-05-23 22:03:42.040300,1275.498,False,2.821064,0.001033,0.000689,0.0,2024-01-20 22:57:41.460773000,2024-01-20 17:57:41.460773000
2024-05-23 22:03:42.104100,1275.566,False,2.11418,1.893356,1.807973,1.960078,2024-01-20 22:57:41.524573000,2024-01-20 17:57:41.524573000
2024-05-23 22:03:42.152025,1275.611,False,2.02804,1.727067,1.814928,1.966069,2024-01-20 22:57:41.572498000,2024-01-20 17:57:41.572498000
2024-05-23 22:03:42.167950,1275.623,False,2.162242,1.980253,1.941831,2.047457,2024-01-20 22:57:41.588423000,2024-01-20 17:57:41.588423000
2024-05-23 22:03:42.184250,1275.64,False,2.263668,2.072383,1.932535,2.075138,2024-01-20 22:57:41.604723000,2024-01-20 17:57:41.604723000
2024-05-23 22:03:42.184275,1275.647,False,2.069285,2.016334,1.960698,1.939077,2024-01-20 22:57:41.604748000,2024-01-20 17:57:41.604748000
2024-05-23 22:03:42.488175,1275.951,False,2.351529,2.136145,2.040572,2.177184,2024-01-20 22:57:41.908648000,2024-01-20 17:57:41.908648000
2024-05-23 22:03:42.536100,1275.999,True,1.087111,1.097922,1.141233,1.128219,2024-01-20 22:57:41.956573000,2024-01-20 17:57:41.956573000
2024-05-23 22:03:42.712000,1276.174,False,2.724182,2.548597,2.476504,2.570562,2024-01-20 22:57:42.132473000,2024-01-20 17:57:42.132473000
2024-05-23 22:03:42.920025,1276.379,False,2.163825,1.964485,1.860718,2.029555,2024-01-20 22:57:42.340498000,2024-01-20 17:57:42.340498000
2024-05-23 22:03:42.967950,1276.422,False,2.297614,2.18221,2.288387,2.303054,2024-01-20 22:57:42.388423001,2024-01-20 17:57:42.388423001
2024-05-23 22:03:43.048000,1276.498,False,3.102412,0.000689,0.000757,0.0,2024-01-20 22:57:42.468473000,2024-01-20 17:57:42.468473000
2024-05-23 22:03:43.239950,1276.693,False,2.061022,1.723624,1.565046,1.883647,2024-01-20 22:57:42.660423000,2024-01-20 17:57:42.660423000
2024-05-23 22:03:43.335925,1276.795,False,2.003664,1.787867,1.717495,1.849976,2024-01-20 22:57:42.756398000,2024-01-20 17:57:42.756398000
2024-05-23 22:03:43.463875,1276.913,False,1.971371,1.616483,1.706685,1.868498,2024-01-20 22:57:42.884348000,2024-01-20 17:57:42.884348000
2024-05-23 22:03:43.543900,1276.999,True,1.062461,1.096682,1.135105,1.126291,2024-01-20 22:57:42.964373000,2024-01-20 17:57:42.964373000
2024-05-23 22:03:43.671800,1277.122,False,2.072865,1.952641,1.463001,1.536333,2024-01-20 22:57:43.092273000,2024-01-20 17:57:43.092273000
2024-05-23 22:03:43.735875,1277.186,False,3.165692,3.255757,3.083683,2.999058,2024-01-20 22:57:43.156348000,2024-01-20 17:57:43.156348000
2024-05-23 22:03:43.895775,1277.359,False,2.853633,2.673641,2.670543,2.769421,2024-01-20 22:57:43.316248000,2024-01-20 17:57:43.316248000
2024-05-23 22:03:43.975725,1277.426,False,2.372186,2.45385,2.434157,2.288525,2024-01-20 22:57:43.396198000,2024-01-20 17:57:43.396198000
2024-05-23 22:03:44.007650,1277.467,False,2.7237,2.71647,2.854046,2.79476,2024-01-20 22:57:43.428123000,2024-01-20 17:57:43.428123000
2024-05-23 22:03:44.039800,1277.498,False,0.184812,0.00062,0.000551,0.0,2024-01-20 22:57:43.460273000,2024-01-20 17:57:43.460273000
2024-05-23 22:03:44.280125,1277.74,False,2.333488,2.251411,2.330872,2.334659,2024-01-20 22:57:43.700598000,2024-01-20 17:57:43.700598000
2024-05-23 22:03:44.280150,1277.742,False,2.574005,2.466176,2.4051,2.437531,2024-01-20 22:57:43.700623000,2024-01-20 17:57:43.700623000
2024-05-23 22:03:44.311775,1277.761,False,2.550387,2.420868,2.386302,2.432987,2024-01-20 22:57:43.732248000,2024-01-20 17:57:43.732248000
2024-05-23 22:03:44.455650,1277.909,False,2.387541,2.325088,2.212438,2.199769,2024-01-20 22:57:43.876123000,2024-01-20 17:57:43.876123000
2024-05-23 22:03:44.551875,1277.999,True,1.062667,1.096751,1.135449,1.126015,2024-01-20 22:57:43.972348000,2024-01-20 17:57:43.972348000
2024-05-23 22:03:44.551875,1278.014,False,2.221734,2.16293,2.17436,2.152602,2024-01-20 22:57:43.972348000,2024-01-20 17:57:43.972348000
2024-05-23 22:03:44.631650,1278.09,False,2.573386,2.461287,2.295962,2.329082,2024-01-20 22:57:44.052123000,2024-01-20 17:57:44.052123000
2024-05-23 22:03:44.711600,1278.175,False,1.873938,1.725139,1.689126,1.607118,2024-01-20 22:57:44.132073000,2024-01-20 17:57:44.132073000
2024-05-23 22:03:44.727550,1278.189,False,2.090562,2.091595,1.98046,1.881581,2024-01-20 22:57:44.148023000,2024-01-20 17:57:44.148023000
2024-05-23 22:03:44.823600,1278.279,False,2.334108,2.320819,2.315104,2.250447,2024-01-20 22:57:44.244073000,2024-01-20 17:57:44.244073000
2024-05-23 22:03:44.839625,1278.29,False,2.896944,2.956574,2.717296,2.59418,2024-01-20 22:57:44.260098000,2024-01-20 17:57:44.260098000
2024-05-23 22:03:44.935600,1278.397,False,2.140276,2.032033,1.696288,1.824499,2024-01-20 22:57:44.356073000,2024-01-20 17:57:44.356073000
2024-05-23 22:03:44.983575,1278.446,False,2.194467,2.136971,2.092696,2.081541,2024-01-20 22:57:44.404048000,2024-01-20 17:57:44.404048000
2024-05-23 22:03:45.047675,1278.498,False,0.284929,0.000895,0.000551,0.0,2024-01-20 22:57:44.468148000,2024-01-20 17:57:44.468148000
2024-05-23 22:03:45.052875,1278.499,False,2.5707,2.560578,2.373563,2.310008,2024-01-20 22:57:44.473348000,2024-01-20 17:57:44.473348000
2024-05-23 22:03:45.095600,1278.55,False,2.176977,2.01055,1.928404,2.030656,2024-01-20 22:57:44.516073000,2024-01-20 17:57:44.516073000
2024-05-23 22:03:45.159550,1278.609,False,2.261051,2.146887,1.926132,1.992647,2024-01-20 22:57:44.580023000,2024-01-20 17:57:44.580023000
2024-05-23 22:03:45.175450,1278.629,False,3.079827,2.880556,2.658561,2.764808,2024-01-20 22:57:44.595923000,2024-01-20 17:57:44.595923000
2024-05-23 22:03:45.239550,1278.702,False,2.182692,2.04491,2.08464,2.143168,2024-01-20 22:57:44.660023000,2024-01-20 17:57:44.660023000
2024-05-23 22:03:45.335550,1278.788,False,1.964072,1.698147,1.513955,1.691743,2024-01-20 22:57:44.756023000,2024-01-20 17:57:44.756023000
2024-05-23 22:03:45.383525,1278.834,False,2.927241,2.992724,3.236614,2.986389,2024-01-20 22:57:44.803998000,2024-01-20 17:57:44.803998000
2024-05-23 22:03:45.415500,1278.879,False,3.245084,3.169479,2.896393,2.926483,2024-01-20 22:57:44.835973000,2024-01-20 17:57:44.835973000
2024-05-23 22:03:45.463525,1278.92,False,2.321989,2.308562,2.208307,2.140483,2024-01-20 22:57:44.883998000,2024-01-20 17:57:44.883998000
2024-05-23 22:03:45.543500,1278.999,True,1.062667,1.096614,1.135311,1.126222,2024-01-20 22:57:44.963973000,2024-01-20 17:57:44.963973000
2024-05-23 22:03:45.559425,1279.017,False,2.658561,2.441594,2.41412,2.533931,2024-01-20 22:57:44.979898000,2024-01-20 17:57:44.979898000
2024-05-23 22:03:45.607650,1279.057,False,2.209546,2.03706,1.933844,2.055996,2024-01-20 22:57:45.028123000,2024-01-20 17:57:45.028123000
2024-05-23 22:03:45.815425,1279.267,False,2.200801,2.175944,2.30932,2.195775,2024-01-20 22:57:45.235898000,2024-01-20 17:57:45.235898000
2024-05-23 22:03:45.831250,1279.28,False,3.21761,3.335631,3.258167,3.115564,2024-01-20 22:57:45.251723000,2024-01-20 17:57:45.251723000
2024-05-23 22:03:46.039450,1279.498,False,0.748542,0.000964,0.000689,0.0,2024-01-20 22:57:45.459923000,2024-01-20 17:57:45.459923000
2024-05-23 22:03:46.071625,1279.524,False,1.926958,1.727204,1.878001,1.94252,2024-01-20 22:57:45.492098000,2024-01-20 17:57:45.492098000
2024-05-23 22:03:46.071650,1279.527,False,2.87849,3.045881,2.950652,2.7478,2024-01-20 22:57:45.492123000,2024-01-20 17:57:45.492123000
2024-05-23 22:03:46.183325,1279.645,False,2.896806,2.864581,2.7436,2.727281,2024-01-20 22:57:45.603798000,2024-01-20 17:57:45.603798000
2024-05-23 22:03:46.199325,1279.652,False,2.250172,2.132702,1.953123,2.024184,2024-01-20 22:57:45.619798000,2024-01-20 17:57:45.619798000
2024-05-23 22:03:46.231300,1279.684,False,2.481599,2.418802,2.312349,2.29245,2024-01-20 22:57:45.651773000,2024-01-20 17:57:45.651773000
2024-05-23 22:03:46.247475,1279.708,False,3.128991,3.225942,3.231794,3.099934,2024-01-20 22:57:45.667948000,2024-01-20 17:57:45.667948000
2024-05-23 22:03:46.359350,1279.808,False,2.776651,2.674467,2.833733,2.864306,2024-01-20 22:57:45.779823000,2024-01-20 17:57:45.779823000
2024-05-23 22:03:46.375250,1279.827,False,2.789665,2.573661,2.438082,2.549768,2024-01-20 22:57:45.795723000,2024-01-20 17:57:45.795723000
2024-05-23 22:03:46.407350,1279.862,False,2.792419,2.611808,2.433469,2.514995,2024-01-20 22:57:45.827823000,2024-01-20 17:57:45.827823000
2024-05-23 22:03:46.423250,1279.884,False,2.10571,1.931847,1.608357,1.782427,2024-01-20 22:57:45.843723000,2024-01-20 17:57:45.843723000
2024-05-23 22:03:46.551375,1279.999,True,1.062736,1.096682,1.135105,1.126084,2024-01-20 22:57:45.971848000,2024-01-20 17:57:45.971848000
2024-05-23 22:03:46.567275,1280.02,False,2.815004,2.548873,2.49241,2.639764,2024-01-20 22:57:45.987748000,2024-01-20 17:57:45.987748000
2024-05-23 22:03:46.775275,1280.231,False,2.0184,2.697397,2.86403,2.871536,2024-01-20 22:57:46.195748000,2024-01-20 17:57:46.195748000
2024-05-23 22:03:46.823250,1280.278,False,2.726041,2.789734,2.658424,2.537993,2024-01-20 22:57:46.243723000,2024-01-20 17:57:46.243723000
2024-05-23 22:03:46.887450,1280.348,False,2.682386,2.566018,2.405375,2.44724,2024-01-20 22:57:46.307923000,2024-01-20 17:57:46.307923000
2024-05-23 22:03:47.047250,1280.498,False,1.030855,0.001033,0.000551,0.0,2024-01-20 22:57:46.467723000,2024-01-20 17:57:46.467723000
2024-05-23 22:03:47.063175,1280.516,False,2.893157,3.028047,3.172853,2.898665,2024-01-20 22:57:46.483648000,2024-01-20 17:57:46.483648000
2024-05-23 22:03:47.111225,1280.562,False,1.944379,1.892736,2.005041,1.927991,2024-01-20 22:57:46.531698000,2024-01-20 17:57:46.531698000
2024-05-23 22:03:47.143200,1280.6,False,2.932336,2.816932,2.994583,3.022676,2024-01-20 22:57:46.563673000,2024-01-20 17:57:46.563673000
2024-05-23 22:03:47.239225,1280.701,False,2.839999,2.666962,2.560716,2.626612,2024-01-20 22:57:46.659698000,2024-01-20 17:57:46.659698000
2024-05-23 22:03:47.303200,1280.756,False,2.192952,1.997536,2.158317,2.190335,2024-01-20 22:57:46.723673000,2024-01-20 17:57:46.723673000
2024-05-23 22:03:47.383175,1280.836,False,2.429268,2.298372,2.15267,2.219599,2024-01-20 22:57:46.803648000,2024-01-20 17:57:46.803648000
2024-05-23 22:03:47.495200,1280.948,False,2.549286,2.469618,2.264425,2.270967,2024-01-20 22:57:46.915673000,2024-01-20 17:57:46.915673000
2024-05-23 22:03:47.543275,1280.999,True,1.062392,1.096476,1.134967,1.126222,2024-01-20 22:57:46.963748000,2024-01-20 17:57:46.963748000
2024-05-23 22:03:47.623175,1281.081,False,2.304706,2.266491,2.176702,2.139381,2024-01-20 22:57:47.043648000,2024-01-20 17:57:47.043648000
2024-05-23 22:03:47.719175,1281.173,False,2.174292,1.999051,2.01957,2.106743,2024-01-20 22:57:47.139648000,2024-01-20 17:57:47.139648000
2024-05-23 22:03:47.831175,1281.281,False,2.924349,2.876149,2.561818,2.55142,2024-01-20 22:57:47.251648000,2024-01-20 17:57:47.251648000
2024-05-23 22:03:47.975350,1281.432,False,2.781953,2.878903,2.716608,2.568428,2024-01-20 22:57:47.395823000,2024-01-20 17:57:47.395823000
2024-05-23 22:03:47.975350,1281.433,False,2.20872,2.265183,2.214642,2.065911,2024-01-20 22:57:47.395823000,2024-01-20 17:57:47.395823000
2024-05-23 22:03:48.039100,1281.498,False,1.205614,0.000895,0.000344,0.0,2024-01-20 22:57:47.459573000,2024-01-20 17:57:47.459573000
2024-05-23 22:03:48.087100,1281.547,False,2.085535,1.952228,1.619237,1.71061,2024-01-20 22:57:47.507573000,2024-01-20 17:57:47.507573000
2024-05-23 22:03:48.119025,1281.571,False,2.189302,2.097585,2.192539,2.201972,2024-01-20 22:57:47.539498000,2024-01-20 17:57:47.539498000
2024-05-23 22:03:48.215050,1281.671,False,2.105159,1.927164,1.763767,1.924341,2024-01-20 22:57:47.635523000,2024-01-20 17:57:47.635523000
2024-05-23 22:03:48.327025,1281.784,False,2.794072,2.640177,2.497643,2.57194,2024-01-20 22:57:47.747498000,2024-01-20 17:57:47.747498000
2024-05-23 22:03:48.535075,1281.996,False,2.171606,2.008966,1.799228,1.956429,2024-01-20 22:57:47.955548000,2024-01-20 17:57:47.955548000
2024-05-23 22:03:48.551025,1281.999,True,1.062461,1.096545,1.135105,1.126153,2024-01-20 22:57:47.971498000,2024-01-20 17:57:47.971498000
2024-05-23 22:03:48.631100,1282.093,False,3.27965,2.997612,3.087746,3.257685,2024-01-20 22:57:48.051573000,2024-01-20 17:57:48.051573000
2024-05-23 22:03:48.695025,1282.15,False,2.429475,2.449994,2.287974,2.197083,2024-01-20 22:57:48.115498000,2024-01-20 17:57:48.115498000
2024-05-23 22:03:48.775000,1282.223,False,2.308907,2.260156,2.051244,2.028728,2024-01-20 22:57:48.195473000,2024-01-20 17:57:48.195473000
2024-05-23 22:03:48.839025,1282.289,False,1.993611,1.931158,1.925099,1.884267,2024-01-20 22:57:48.259498000,2024-01-20 17:57:48.259498000
2024-05-23 22:03:48.918925,1282.37,False,2.334659,2.212369,2.125265,2.18882,2024-01-20 22:57:48.339398000,2024-01-20 17:57:48.339398000
2024-05-23 22:03:48.934950,1282.39,False,2.11356,2.065498,1.973918,1.945343,2024-01-20 22:57:48.355423000,2024-01-20 17:57:48.355423000
2024-05-23 22:03:49.047000,1282.498,False,1.57269,0.000826,0.000482,0.0,2024-01-20 22:57:48.467473000,2024-01-20 17:57:48.467473000
2024-05-23 22:03:49.127200,1282.578,False,2.885927,2.938533,2.908512,2.81466,2024-01-20 22:57:48.547673000,2024-01-20 17:57:48.547673000
2024-05-23 22:03:49.127200,1282.582,False,3.108265,3.01641,3.166312,3.197228,2024-01-20 22:57:48.547673000,2024-01-20 17:57:48.547673000
2024-05-23 22:03:49.222775,1282.686,False,2.306221,2.3087,2.180558,2.093247,2024-01-20 22:57:48.643248000,2024-01-20 17:57:48.643248000
2024-05-23 22:03:49.238950,1282.688,False,2.866991,2.746629,2.765014,2.824575,2024-01-20 22:57:48.659423000,2024-01-20 17:57:48.659423000
2024-05-23 22:03:49.414850,1282.869,False,2.75441,2.580202,2.360687,2.419215,2024-01-20 22:57:48.835323000,2024-01-20 17:57:48.835323000
2024-05-23 22:03:49.542850,1282.999,True,1.062667,1.096682,1.135105,1.126153,2024-01-20 22:57:48.963323000,2024-01-20 17:57:48.963323000
2024-05-23 22:03:49.862875,1283.311,False,2.21712,2.218016,2.117003,2.035407,2024-01-20 22:57:49.283348000,2024-01-20 17:57:49.283348000
2024-05-23 22:03:49.958750,1283.407,False,2.202592,2.127538,2.050556,2.054756,2024-01-20 22:57:49.379223000,2024-01-20 17:57:49.379223000
2024-05-23 22:03:49.974650,1283.436,False,1.704757,1.483382,1.332517,1.299948,2024-01-20 22:57:49.395123000,2024-01-20 17:57:49.395123000
2024-05-23 22:03:50.038900,1283.498,False,1.704206,0.00062,0.001171,0.0,2024-01-20 22:57:49.459373000,2024-01-20 17:57:49.459373000
